engine,model,result_type,ttft,tpot,throughput,total_tokens,input_tokens,output_tokens,p50_latency,p95_latency,p99_latency,gpu_memory_used,gpu_utilization,cpu_utilization
transformers,microsoft/DialoGPT-small,overall,0.029874324798583984,0.020705882708231607,1513.2575497917212,940,870,70,0.0080949068069458,0.05933070182800293,0.06220102310180664,953.0,0.0,0.0
transformers,microsoft/DialoGPT-small,run_0,0.029874324798583984,0.03916247685750326,229.81181789771458,27,23,4,0.030064105987548828,0.05754899978637695,0.05754899978637695,953.0,11.0,0.0
transformers,microsoft/DialoGPT-small,run_1,0.05933070182800293,0.05357154210408529,199.11068914055477,32,22,10,0.05933070182800293,0.06220102310180664,0.06220102310180664,953.0,22.0,0.4
transformers,microsoft/DialoGPT-small,run_2,0.009615182876586914,0.007524013519287109,1196.1700994993346,27,27,0,0.006506681442260742,0.009615182876586914,0.009615182876586914,953.0,5.0,0.0
transformers,microsoft/DialoGPT-small,run_3,0.010869503021240234,0.008245229721069336,1212.8224850360004,30,30,0,0.007367849349975586,0.010869503021240234,0.010869503021240234,953.0,3.0,0.0
transformers,microsoft/DialoGPT-small,run_4,0.009494543075561523,0.007715861002604167,1209.6295319709955,28,28,0,0.006969928741455078,0.009494543075561523,0.009494543075561523,953.0,3.0,0.0
transformers,microsoft/DialoGPT-small,run_5,0.00822591781616211,0.00738827387491862,1443.7291913172558,32,32,0,0.007014751434326172,0.00822591781616211,0.00822591781616211,953.0,5.0,0.0
transformers,microsoft/DialoGPT-small,run_6,0.04049253463745117,0.03980890909830729,293.0667262912448,35,29,6,0.03955411911010742,0.04049253463745117,0.04049253463745117,953.0,21.0,0.0
transformers,microsoft/DialoGPT-small,run_7,0.03151130676269531,0.029067834218343098,447.22974206989323,39,33,6,0.03151130676269531,0.04884529113769531,0.04884529113769531,953.0,16.0,0.0
transformers,microsoft/DialoGPT-small,run_8,0.007963895797729492,0.0073210398356119795,1639.1114198871037,36,36,0,0.007030010223388672,0.007963895797729492,0.007963895797729492,953.0,3.0,0.0
transformers,microsoft/DialoGPT-small,run_9,0.007422447204589844,0.0072536468505859375,1378.6168814094135,30,30,0,0.007422447204589844,0.007635354995727539,0.007635354995727539,953.0,5.0,2.2
vllm,microsoft/DialoGPT-small,overall,0.02280783699825406,0.01611375823316242,1973.4688543703603,954,870,84,0.00831283700063068,0.037235320000036154,0.039758610000717454,5583.0,1.0,0.0
vllm,microsoft/DialoGPT-small,run_0,0.02280783699825406,0.03008201099873986,343.5054037366783,31,23,8,0.0336355569997977,0.03380263899816782,0.03380263899816782,5583.0,28.999999999999996,0.7
vllm,microsoft/DialoGPT-small,run_1,0.028826331999880495,0.03096633266613935,333.69574126653004,31,22,9,0.028826331999880495,0.037235320000036154,0.037235320000036154,5583.0,11.0,0.0
vllm,microsoft/DialoGPT-small,run_2,0.009064685000339523,0.006871631000346194,1309.7327256871881,27,27,0,0.006640873001742875,0.009064685000339523,0.009064685000339523,5583.0,0.0,0.0
vllm,microsoft/DialoGPT-small,run_3,0.010287666998920031,0.006664629331983936,1500.4585404336638,30,30,0,0.004998258998966776,0.010287666998920031,0.010287666998920031,5583.0,3.0,0.0
vllm,microsoft/DialoGPT-small,run_4,0.00941448099911213,0.006571608665884317,1420.25093213267,28,28,0,0.005459052998048719,0.00941448099911213,0.00941448099911213,5583.0,0.0,0.0
vllm,microsoft/DialoGPT-small,run_5,0.007554661002359353,0.00590454499979387,1806.517973364424,32,32,0,0.005387245997553691,0.007554661002359353,0.007554661002359353,5583.0,2.0,0.4
vllm,microsoft/DialoGPT-small,run_6,0.032218030999501934,0.03205558633271721,374.3497272346668,36,29,7,0.032218030999501934,0.03398246899814694,0.03398246899814694,5583.0,13.0,0.0
vllm,microsoft/DialoGPT-small,run_7,0.03223140200134367,0.03063246966727699,457.0313837592874,42,33,9,0.03223140200134367,0.039758610000717454,0.039758610000717454,5583.0,24.0,0.0
vllm,microsoft/DialoGPT-small,run_8,0.007560989000921836,0.005887478334140421,2038.224061125486,36,36,0,0.005380335001973435,0.007560989000921836,0.007560989000921836,5583.0,0.0,0.0
vllm,microsoft/DialoGPT-small,run_9,0.006921066000359133,0.005501290334602042,1817.7553613380398,30,30,0,0.004855064002185827,0.006921066000359133,0.006921066000359133,5583.0,2.0,3.6
